manifest_id,manuscript_item,script,primary_inputs,output_files,workflow_step,output_kind,required_for_manuscript,verified_generated,verified_against_manuscript,notes
M001,Figure 2(a)–(c),Code/Figure2.R,Data/temperature index value.v1.xlsx,Output/Figure2/Figure2(a).png; Output/Figure2/Figure2(b).png; Output/Figure2/Figure2(c).png,figure2,figure,yes,yes,yes,Verify all three panels and the caption against the revised manuscript.
M002,Annual and city-specific LME intermediates,Code/DataPreparation/prepare_lme_annual.R,Data/LME data/a1.csv.gz; ...; Data/LME data/a13.csv.gz,Output/Intermediate/LME/lme_annual_1368_1911.rds; Output/Intermediate/LME/lme_city3_annual_1368_1911.csv ; Output/Intermediate/LME/lme_ensemble_mean_1368_1911.csv;  Output/Intermediate/LME/ lme_city3_ensemble_mean_1368_1911.csv,prepare_lme,intermediate,yes,yes,yes,The public workflow starts from a1.csv.gz–a13.csv.gz; GetLME.R is optional upstream documentation.
M003,Calibration parameters and curves,Code/prepare_calibration.R,Data/temperature index value.v1.xlsx,Output/Intermediate/calibration_parameters.rds,calibration,intermediate,yes,yes,yes,Add any calibration summary CSVs and curve-data files if retained in the final repository.
M004,Figure 4(a)–(c),Code/Figure4.R,Output/Intermediate/calibration_parameters.rds,Output/Figure4/Figure4(a).png; Output/Figure4/Figure4(b).png; Output/Figure4/Figure4(c).png,figure4,figure,yes,yes,yes,"Verify axes, zoom range, and panel dimensions against the revised manuscript."
M005,REACHES kriging products,Code/Get_tempe_all_data.R,Output/Intermediate/calibration_parameters.rds,Output/Intermediate/REACHES/reaches_kriging_lme_grid_mean.csv; Output/Intermediate/REACHES/reaches_kriging_city3_mean.csv; Output/Intermediate/REACHES/reaches_kriging_city3_sd.csv; Output/Intermediate/REACHES/reaches_kriging_city3_metadata.csv; Output/Intermediate/REACHES/reaches_kriging_metadata.csv,kriging,intermediate,yes,yes,yes,City predictions use direct kriging at the GHCN nominal station coordinates.
M006,Figure 3(a)–(c),Code/Figure3.R,Output/Intermediate/LME/lme_city3_annual_1368_1911.csv,Output/Figure3/Figure3(a).png; Output/Figure3/Figure3(b).png; Output/Figure3/Figure3(c).png,figure3,figure,yes,yes,yes,"Beijing, Shanghai, and Hong Kong panels."
M007,"Figure 5(a1)–(a3), (b1)–(b3)",Code/Figure5.R, Output/Intermediate/calibration_parameters.rds,Output/Figure5/Figure5(a1).png; Output/Figure5/Figure5(a2).png; Output/Figure5/Figure5(a3).png; Output/Figure5/Figure5(b1).png; Output/Figure5/Figure5(b2).png; Output/Figure5/Figure5(b3).png,figure5,figure,yes,yes,yes,Six separate panels.
M008,Figure 6 and cluster assignments,Code/Figure6.R,Output/Intermediate/REACHES/reaches_kriging_lme_grid_mean.csv,Output/Figure6/Figure6_cluster_map.jpg; Output/Figure6/Figure6_cluster_1.jpg; Output/Figure6/Figure6_cluster_2.jpg; Output/Figure6/Figure6_cluster_3.jpg; Output/Figure6/Figure6_cluster_4.jpg; Output/Figure6/Figure6_cluster_assignments.csv,figure6,figure+table,yes,yes,yes,The revised analysis selects four clusters; Figure S5 must reuse these assignments.
M009,Figure 7(e),Code/Figure7e.R,Output/Intermediate/REACHES/reaches_kriging_lme_grid_mean.csv; Output/Intermediate/REACHES/reaches_kriging_lme_grid_variance.csv; Output/Intermediate/LME/lme_annual_1368_1911.rds,Output/Figure7-8/Figure7e.png,figure7e,figure,yes,yes,yes,Full-grid quantile-mapping figure.
M010,Figures 7(a)–(d) and 8(a)–(d),Code/Figure7-8.R,Output/Intermediate/LME/lme_city3_annual_1368_1911.csv; Output/Intermediate/REACHES/reaches_kriging_city3_mean.csv; Output/Intermediate/REACHES/reaches_kriging_city3_sd.csv,Output/Figure7-8/Figure7a.png; Output/Figure7-8/Figure7b.png; Output/Figure7-8/Figure7c.png; Output/Figure7-8/Figure7d.png; Output/Figure7-8/Figure8a.png; Output/Figure7-8/Figure8b.png; Output/Figure7-8/Figure8c.png; Output/Figure7-8/Figure8d.png,figure7_8,figure,yes,yes,yes,All city-specific inputs must use the exact GHCN nominal coordinates.
